ReferenceID,Block,Lot,BuildingAddress,NoticeDate,Neighborhood,PoliceDistrict,CouncilDistrict,Location
0300C058 062916,0300C,058,1520 N CAREY ST,06/29/2016,SANDTOWN-WINCHESTER,WESTERN,7,"(39.30679661, -76.64056219)"
0300C059 120618,0300C,059,1529 N WOODYEAR ST,12/06/2018,Sandtown-Winchester,Western,7,"(39.30678983, -76.64091172)"
0300C078 071018,0300C,078,1556 N WOODYEAR ST,07/10/2018,Sandtown-Winchester,Western,7,"(39.30688101, -76.64148494)"
0301 042 082814,0301,042,1507 N CAREY ST,08/28/2014,SANDTOWN-WINCHESTER,WESTERN,7,"(39.30725305, -76.64049409)"
0301 056 031512,0301,056,611 BAKER ST,03/15/2012,Sandtown-Winchester,Western,7,"(39.30779188, -76.64069954)"
0302 005 071505,0302,005,2215 PENNSYLVANIA AVE,07/15/2005,DRUID HEIGHTS,CENTRAL,7,"(39.30792548, -76.63957051)"
0302 059 062419,0302,059,556 GOLD ST,06/24/2019,Druid Heights,Central,7,"(39.308039, -76.63893608)"
0303 021 012610,0303,021,507 BAKER ST,01/26/2010,DRUID HEIGHTS,CENTRAL,7,"(39.30938547, -76.63854167)"
0303 033 112517,0303,033,2226 DRUID HILL AVE,11/25/2017,Druid Heights,Central,7,"(39.30939321, -76.6380586)"
0303 034 102818,0303,034,2224 DRUID HILL AVE,10/28/2018,Druid Heights,Central,7,"(39.30936294, -76.63802125)"
0303 035 090517,0303,035,2222 DRUID HILL AVE,09/05/2017,Druid Heights,Central,7,"(39.30933291, -76.6379842)"
0303 038 062716,0303,038,2216 DRUID HILL AVE,06/27/2016,DRUID HEIGHTS,CENTRAL,7,"(39.30924402, -76.63787449)"
0303 040 090517,0303,040,2212 DRUID HILL AVE,09/05/2017,Druid Heights,Central,7,"(39.3091834, -76.63779967)"
0303 051 122717,0303,051,510 GOLD ST,12/27/2017,Druid Heights,Central,7,"(39.30884579, -76.63794126)"
0304 026 090517,0304,026,2237 DRUID HILL AVE,09/05/2017,Druid Heights,Central,7,"(39.30983733, -76.63790246)"
0304 035 050412,0304,035,2219 DRUID HILL AVE,05/04/2012,DRUID HEIGHTS,CENTRAL,7,"(39.30955516, -76.63759428)"
0304 037 032708,0304,037,2215 DRUID HILL AVE,03/27/2008,DRUID HEIGHTS,CENTRAL,7,"(39.30949204, -76.63751812)"
0304 038 121609,0304,038,2213 DRUID HILL AVE,12/16/2009,DRUID HEIGHTS,CENTRAL,7,"(39.30946246, -76.63748378)"
0304 039 033017,0304,039,2211 DRUID HILL AVE,03/30/2017,Druid Heights,Central,7,"(39.30943249, -76.63744441)"
0304 040 032708,0304,040,2209 DRUID HILL AVE,03/27/2008,DRUID HEIGHTS,CENTRAL,7,"(39.30939841, -76.63740335)"
0304 041 020110,0304,041,2207 DRUID HILL AVE,02/01/2010,DRUID HEIGHTS,CENTRAL,7,"(39.30936143, -76.63736191)"
0304 042 020118,0304,042,2205 DRUID HILL AVE,02/01/2018,Druid Heights,Central,7,"(39.30932663, -76.63732286)"
0304 043 081611,0304,043,2203 DRUID HILL AVE,08/16/2011,DRUID HEIGHTS,CENTRAL,7,"(39.30929243, -76.6372845)"
0304 044 060517,0304,044,2201 DRUID HILL AVE,06/05/2017,Druid Heights,Central,7,"(39.30925711, -76.63724485)"
0306 046 112013,0306,046,1447 N CAREY ST,11/20/2013,SANDTOWN-WINCHESTER,WESTERN,7,"(39.30662258, -76.63975411)"
0306 047 031314,0306,047,1449 N CAREY ST,03/13/2014,SANDTOWN-WINCHESTER,WESTERN,7,"(39.30664536, -76.63978418)"
0307 003 062308,0307,003,2104 DIVISION ST,06/23/2008,DRUID HEIGHTS,CENTRAL,7,"(39.30742624, -76.63783433)"
0307 004 090105,0307,004,2106 DIVISION ST,09/01/2005,DRUID HEIGHTS,CENTRAL,7,"(39.30749881, -76.63781209)"
0307 007 072916,0307,007,2112 DIVISION ST,07/29/2016,DRUID HEIGHTS,CENTRAL,7,"(39.30757539, -76.63790699)"
0307 014 010218,0307,014,2128 DIVISION ST,01/02/2018,Druid Heights,Central,7,"(39.30775368, -76.63815221)"
0307 018 072816,0307,018,2136 DIVISION ST,07/28/2016,DRUID HEIGHTS,CENTRAL,7,"(39.30785031, -76.63827073)"
0307 028 113012,0307,028,537 GOLD ST,11/30/2012,DRUID HEIGHTS,CENTRAL,7,"(39.30760526, -76.63891389)"
0307 031 062415,0307,031,2145 PENNSYLVANIA AVE,06/24/2015,DRUID HEIGHTS,CENTRAL,7,"(39.30752658, -76.63915224)"
0307 075 050919,0307,075,2113 BRUNT ST,05/09/2019,Druid Heights,Central,7,"(39.3074365, -76.63818777)"
0308 036 091918,0308,036,2140 DRUID HILL AVE,09/19/2018,Druid Heights,Central,7,"(39.30883252, -76.63739315)"
0308 038 050118,0308,038,2136 DRUID HILL AVE,05/01/2018,Druid Heights,Central,7,"(39.30877688, -76.6373219)"
0308 040 030918,0308,040,2132 DRUID HILL AVE,03/09/2018,Druid Heights,Central,7,"(39.30871745, -76.63724822)"
0308 045 043009,0308,045,2122 DRUID HILL AVE,04/30/2009,DRUID HEIGHTS,CENTRAL,7,"(39.30856593, -76.6370604)"
0308 046 091516,0308,046,2120 DRUID HILL AVE,09/15/2016,Druid Heights,Central,7,"(39.30853358, -76.63702031)"
0308 047 102818,0308,047,2118 DRUID HILL AVE,10/28/2018,Druid Heights,Central,7,"(39.30850121, -76.63698017)"
0308 049 070618,0308,049,2114 DRUID HILL AVE,07/06/2018,Druid Heights,Central,7,"(39.30843847, -76.63690239)"
0308 061 090105,0308,061,510 BLOOM ST,09/01/2005,DRUID HEIGHTS,CENTRAL,7,"(39.30805114, -76.63700211)"
0309 004 101317,0309,004,2104 MCCULLOH ST,10/13/2017,Druid Heights,Central,7,"(39.30884023, -76.63602715)"
0309 005 022312,0309,005,2106 MCCULLOH ST,02/23/2012,DRUID HEIGHTS,CENTRAL,7,"(39.30887974, -76.63607572)"
0309 006 123009,0309,006,2108 MCCULLOH ST,12/30/2009,DRUID HEIGHTS,CENTRAL,7,"(39.30891942, -76.63612475)"
0309 011 071514,0309,011,2118 MCCULLOH ST,07/15/2014,DRUID HEIGHTS,CENTRAL,7,"(39.30907496, -76.6363164)"
0309 012 080510,0309,012,2120 MCCULLOH ST,08/05/2010,DRUID HEIGHTS,CENTRAL,7,"(39.30910188, -76.63634965)"
0309 013 122718,0309,013,2122 MCCULLOH ST,12/27/2018,Druid Heights,Central,7,"(39.30913268, -76.63638757)"
0309 014 122012,0309,014,2124 MCCULLOH ST,12/20/2012,DRUID HEIGHTS,CENTRAL,7,"(39.30916265, -76.63642454)"
0309 016 040506,0309,016,2128 MCCULLOH ST,04/05/2006,DRUID HEIGHTS,CENTRAL,7,"(39.3092217, -76.63649731)"
0309 022 052615,0309,022,2141 DRUID HILL AVE,05/26/2015,DRUID HEIGHTS,CENTRAL,7,"(39.30910543, -76.63695758)"
0309 023 121317,0309,023,2139 DRUID HILL AVE,12/13/2017,Druid Heights,Central,7,"(39.30907598, -76.63692109)"
0309 027 082114,0309,027,2131 DRUID HILL AVE,08/21/2014,DRUID HEIGHTS,CENTRAL,7,"(39.30895648, -76.6367729)"
0309 031 020119,0309,031,2123 DRUID HILL AVE,02/01/2019,Druid Heights,Central,7,"(39.30883597, -76.6366235)"
0309 037 112907,0309,037,2111 DRUID HILL AVE,11/29/2007,DRUID HEIGHTS,CENTRAL,7,"(39.30865948, -76.63640469)"
0309 038 010915,0309,038,2109 DRUID HILL AVE,01/09/2015,DRUID HEIGHTS,CENTRAL,7,"(39.30862927, -76.63636722)"
0309 039 012411,0309,039,2107 DRUID HILL AVE,01/24/2011,DRUID HEIGHTS,CENTRAL,7,"(39.3085986, -76.63632924)"
0309 042 060517,0309,042,2101 DRUID HILL AVE,06/05/2017,Druid Heights,Central,7,"(39.30850798, -76.63621965)"
0310 004 032014,0310,004,2118 MADISON AVE,03/20/2014,DRUID HEIGHTS,CENTRAL,7,"(39.30983719, -76.63571731)"
0310 013 082009,0310,013,2127 MCCULLOH ST,08/20/2009,DRUID HEIGHTS,CENTRAL,7,"(39.30958242, -76.63605965)"
0310 016A 101916,0310,016A,2121 1/2 MCCULLOH ST,10/19/2016,Druid Heights,Central,7,"(39.30945463, -76.6359056)"
0310 017 102818,0310,017,2121 MCCULLOH ST,10/28/2018,Druid Heights,Central,7,"(39.30942431, -76.63586431)"
0310 021 050812,0310,021,2113 MCCULLOH ST,05/08/2012,DRUID HEIGHTS,CENTRAL,7,"(39.30931713, -76.63573581)"
0310 025 053014,0310,025,2103 MCCULLOH ST,05/30/2014,DRUID HEIGHTS,CENTRAL,7,"(39.30908163, -76.63552176)"
0313 008 102907,0313,008,2014 DIVISION ST,10/29/2007,UPTON,CENTRAL,11,"(39.30696353, -76.63715561)"
0313 009 092718,0313,009,2016 DIVISION ST,09/27/2018,Upton,Central,11,"(39.3069891, -76.6371869)"
0313 010 070108,0313,010,2018 DIVISION ST,07/01/2008,UPTON,CENTRAL,11,"(39.30701472, -76.63721835)"
0313 011 080108,0313,011,2020 DIVISION ST,08/01/2008,UPTON,CENTRAL,11,"(39.30704109, -76.63725061)"
0313 012 051309,0313,012,2022 DIVISION ST,05/13/2009,UPTON,CENTRAL,11,"(39.30706775, -76.63728332)"
0313 014 062508,0313,014,525 BLOOM ST,06/25/2008,UPTON,CENTRAL,11,"(39.30725573, -76.63734923)"
0313 046 051918,0313,046,2025 PENNSYLVANIA AVE,05/19/2018,Upton,Central,11,"(39.30638105, -76.6377488)"
0313 049 060518,0313,049,2019 PENNSYLVANIA AVE,06/05/2018,Upton,Central,11,"(39.30629161, -76.63763774)"
0313 050 070618,0313,050,2017 PENNSYLVANIA AVE,07/06/2018,Upton,Central,11,"(39.30626129, -76.63759986)"
0314 005 030918,0314,005,2008 DRUID HILL AVE,03/09/2018,Druid Heights,Central,11,"(39.30754456, -76.63580814)"
0314 016 030918,0314,016,2030 DRUID HILL AVE,03/09/2018,Druid Heights,Central,11,"(39.30788701, -76.636233)"
0314 023 022108,0314,023,505 BLOOM ST,02/21/2008,DRUID HEIGHTS,CENTRAL,11,"(39.30782686, -76.63653823)"
0314 024 081711,0314,024,507 BLOOM ST,08/17/2011,DRUID HEIGHTS,CENTRAL,11,"(39.307799, -76.63657848)"
0314 025 092818,0314,025,509 BLOOM ST,09/28/2018,Druid Heights,Central,11,"(39.30776991, -76.63661728)"
0314 030 030218,0314,030,519 BLOOM ST,03/02/2018,Druid Heights,Central,11,"(39.30759766, -76.63689603)"
0314 031 020619,0314,031,521 BLOOM ST,02/06/2019,Druid Heights,Central,11,"(39.30757432, -76.63692754)"
0314 032 110309,0314,032,523 BLOOM ST,11/03/2009,DRUID HEIGHTS,CENTRAL,11,"(39.30755168, -76.63695681)"
0314 033 041818,0314,033,2053 DIVISION ST,04/18/2018,Druid Heights,Central,11,"(39.30751522, -76.63714087)"
0314 034 122618,0314,034,2051 DIVISION ST,12/26/2018,Druid Heights,Central,11,"(39.30749047, -76.63710867)"
0314 038 021315,0314,038,2043 DIVISION ST,02/13/2015,DRUID HEIGHTS,CENTRAL,11,"(39.30739632, -76.63696942)"
0314 042 110113,0314,042,2035 DIVISION ST,11/01/2013,DRUID HEIGHTS,CENTRAL,11,"(39.30729862, -76.63683521)"
0314 045 051216,0314,045,2029 DIVISION ST,05/12/2016,DRUID HEIGHTS,CENTRAL,11,"(39.30722129, -76.63674266)"
0314 063 080415,0314,063,2008 ETTING ST,08/04/2015,DRUID HEIGHTS,CENTRAL,11,"(39.30721956, -76.63631527)"
0314 067 091511,0314,067,2016 ETTING ST,09/15/2011,DRUID HEIGHTS,CENTRAL,11,"(39.30731556, -76.63643286)"
0314 068 053012,0314,068,2018 ETTING ST,05/30/2012,DRUID HEIGHTS,CENTRAL,11,"(39.30733942, -76.63646208)"
0314 069 052516,0314,069,2020 ETTING ST,05/25/2016,DRUID HEIGHTS,CENTRAL,11,"(39.30736185, -76.63648962)"
0314 074 042512,0314,074,2030 ETTING ST,04/25/2012,DRUID HEIGHTS,CENTRAL,11,"(39.30749392, -76.63665143)"
0314 081 070612,0314,081,2017 ETTING ST,07/06/2012,DRUID HEIGHTS,CENTRAL,11,"(39.30760228, -76.63630406)"
0314 084 031513,0314,084,2011 ETTING ST,03/15/2013,DRUID HEIGHTS,CENTRAL,11,"(39.30753058, -76.63621471)"
0315 005 011819,0315,005,2008 MCCULLOH ST,01/18/2019,Druid Heights,Central,11,"(39.30813258, -76.63504702)"
0315 006 060118,0315,006,2010 MCCULLOH ST,06/01/2018,Druid Heights,Central,11,"(39.30812615, -76.6351417)"
0315 011 012618,0315,011,2020 MCCULLOH ST,01/26/2018,Druid Heights,Central,11,"(39.30828866, -76.63534377)"
0315 021 011718,0315,021,435 BLOOM ST,01/17/2018,Druid Heights,Central,11,"(39.30846004, -76.63573073)"
0315 033 090418,0315,033,2015 DRUID HILL AVE,09/04/2018,Druid Heights,Central,11,"(39.30797966, -76.6355731)"
0316 021 101916,0316,021,2037 MCCULLOH ST,10/19/2016,Druid Heights,Central,11,"(39.30889593, -76.63520871)"
0316 024 090909,0316,024,2031 MCCULLOH ST,09/09/2009,DRUID HEIGHTS,CENTRAL,11,"(39.30879351, -76.63508291)"
0316 026 070818,0316,026,2027 MCCULLOH ST,07/08/2018,Druid Heights,Central,11,"(39.30872965, -76.63500438)"
0316 028 120815,0316,028,2023 MCCULLOH ST,12/08/2015,DRUID HEIGHTS,CENTRAL,11,"(39.30866677, -76.63492716)"
0316 031 051019,0316,031,2017 MCCULLOH ST,05/10/2019,Druid Heights,Central,11,"(39.30857097, -76.63480938)"
0316 032 020619,0316,032,2015 MCCULLOH ST,02/06/2019,Druid Heights,Central,11,"(39.30853916, -76.63477029)"
0316 033 121011,0316,033,2013 MCCULLOH ST,12/10/2011,DRUID HEIGHTS,CENTRAL,11,"(39.30850698, -76.63473082)"
0317 043 010219,0317,043,338 PRESSTMAN ST,01/02/2019,Madison Park,Central,11,"(39.30900559, -76.63369281)"
0319 009 011419,0319,009,1822 PENNSYLVANIA AVE,01/14/2019,Upton,Central,11,"(39.30457923, -76.63632572)"
0320 001 021408,0320,001,553 PRESSTMAN ST,02/14/2008,UPTON,CENTRAL,11,"(39.30646529, -76.63637564)"
0320 004 061306,0320,004,559 PRESSTMAN ST,06/13/2006,UPTON,CENTRAL,11,"(39.30638781, -76.63647796)"
0320 005 110105,0320,005,561 PRESSTMAN ST,11/01/2005,UPTON,CENTRAL,11,"(39.30636225, -76.63651068)"
0320 006 110807,0320,006,563 PRESSTMAN ST,11/08/2007,UPTON,CENTRAL,11,"(39.30633821, -76.63654634)"
0320 007 122915,0320,007,565 PRESSTMAN ST,12/29/2015,UPTON,CENTRAL,11,"(39.30631028, -76.63657802)"
0320 009 112305,0320,009,569 PRESSTMAN ST,11/23/2005,UPTON,CENTRAL,11,"(39.30625977, -76.63664773)"
0320 057 031018,0320,057,1918 DIVISION ST,03/10/2018,Upton,Central,11,"(39.30615772, -76.63618529)"
0321 040 081717,0321,040,549 PRESSTMAN ST,08/17/2017,Druid Heights,Central,11,"(39.30662247, -76.63617253)"
0321 049 091918,0321,049,1911 DIVISION ST,09/19/2018,Druid Heights,Central,11,"(39.3063709, -76.6356759)"
0321 088 020619,0321,088,1929 ETTING ST,02/06/2019,Druid Heights,Central,11,"(39.30694598, -76.63547963)"
0321 095 082709,0321,095,1915 ETTING ST,08/27/2009,DRUID HEIGHTS,CENTRAL,11,"(39.30677949, -76.63526964)"
0321 097 102207,0321,097,1911 ETTING ST,10/22/2007,DRUID HEIGHTS,CENTRAL,11,"(39.30673037, -76.63521336)"
0321 100 110804,0321,100,1905 ETTING ST,11/08/2004,DRUID HEIGHTS,CENTRAL,11,"(39.30665872, -76.63512241)"
0321 101 092707,0321,101,1903 ETTING ST,09/27/2007,DRUID HEIGHTS,CENTRAL,11,"(39.30663491, -76.63509329)"
0321 102 102207,0321,102,1901 ETTING ST,10/22/2007,DRUID HEIGHTS,CENTRAL,11,"(39.30661198, -76.63506324)"
0322 016 122618,0322,016,1930 MCCULLOH ST,12/26/2018,Druid Heights,Central,11,"(39.30769019, -76.63459824)"
0322 022 120116,0322,022,403 PRESSTMAN ST,12/01/2016,Druid Heights,Central,11,"(39.30768334, -76.63479136)"
0322 023 112904,0322,023,405 PRESSTMAN ST,11/29/2004,DRUID HEIGHTS,CENTRAL,11,"(39.30765891, -76.63482319)"
0322 030 031615,0322,030,1929 DRUID HILL AVE,03/16/2015,DRUID HEIGHTS,CENTRAL,11,"(39.30736062, -76.63480293)"
0322 037 102918,0322,037,1915 DRUID HILL AVE,10/29/2018,Druid Heights,Central,11,"(39.30713416, -76.63452317)"
0323 019 062614,0323,019,1929 MCCULLOH ST,06/26/2014,MADISON PARK,CENTRAL,11,"(39.30805657, -76.63417407)"
0323 024 051019,0323,024,1919 MCCULLOH ST,05/10/2019,Madison Park,Central,11,"(39.30788405, -76.63396075)"
0323 025 062614,0323,025,1917 MCCULLOH ST,06/26/2014,MADISON PARK,CENTRAL,11,"(39.30784899, -76.63391741)"
0327 002 121410,0327,002,1802 DIVISION ST,12/14/2010,UPTON,CENTRAL,11,"(39.30512371, -76.63479941)"
0327 010 071918,0327,010,1818 DIVISION ST,07/19/2018,Upton,Central,11,"(39.30531183, -76.63510911)"
0327 011 112517,0327,011,1820 DIVISION ST,11/25/2017,Upton,Central,11,"(39.30533923, -76.63513559)"
0327 012 020118,0327,012,1822 DIVISION ST,02/01/2018,Upton,Central,11,"(39.30536375, -76.63516611)"
0327 013 020118,0327,013,1824 DIVISION ST,02/01/2018,Upton,Central,11,"(39.30538781, -76.63519616)"
0327 014 070615,0327,014,1826 DIVISION ST,07/06/2015,UPTON,CENTRAL,11,"(39.30541242, -76.63522678)"
0327 015 102907,0327,015,1828 DIVISION ST,10/29/2007,UPTON,CENTRAL,11,"(39.3054363, -76.63525655)"
0327 016 102907,0327,016,1830 DIVISION ST,10/29/2007,UPTON,CENTRAL,11,"(39.30546002, -76.63528609)"
0327 017 041917,0327,017,1832 DIVISION ST,04/19/2017,Upton,Central,11,"(39.30548474, -76.6353169)"
0327 018 112112,0327,018,1834 DIVISION ST,11/21/2012,UPTON,CENTRAL,11,"(39.30550857, -76.63534659)"
0327 019 052108,0327,019,1836 DIVISION ST,05/21/2008,UPTON,CENTRAL,11,"(39.30553252, -76.63537643)"
0328 001 062817,0328,001,1800 DRUID HILL AVE,06/28/2017,Druid Heights,Central,11,"(39.30588017, -76.63368118)"
0328 005 110418,0328,005,1808 DRUID HILL AVE,11/04/2018,Druid Heights,Central,11,"(39.3059914, -76.63381853)"
0328 006 110508,0328,006,1810 DRUID HILL AVE,11/05/2008,DRUID HEIGHTS,CENTRAL,11,"(39.3060004, -76.63388242)"
0328 009 010118,0328,009,1816 DRUID HILL AVE,01/01/2018,Druid Heights,Central,11,"(39.30609354, -76.6339949)"
0328 010 061417,0328,010,1818 DRUID HILL AVE,06/14/2017,Druid Heights,Central,11,"(39.30612212, -76.63403396)"
0328 011 062215,0328,011,1820 DRUID HILL AVE,06/22/2015,DRUID HEIGHTS,CENTRAL,11,"(39.30615257, -76.63407192)"
0328 012 012717,0328,012,1822 DRUID HILL AVE,01/27/2017,Druid Heights,Central,11,"(39.30618269, -76.63410949)"
0328 015 062308,0328,015,1828 DRUID HILL AVE,06/23/2008,DRUID HEIGHTS,CENTRAL,11,"(39.30627804, -76.63421955)"
0328 040 102405,0328,040,537 ROBERT ST,10/24/2005,DRUID HEIGHTS,CENTRAL,11,"(39.3058972, -76.63514633)"
0328 041 040416,0328,041,539 ROBERT ST,04/04/2016,DRUID HEIGHTS,CENTRAL,11,"(39.30587125, -76.6351795)"
0328 047 123109,0328,047,1829 DIVISION ST,12/31/2009,DRUID HEIGHTS,CENTRAL,11,"(39.30575371, -76.63491661)"
0328 048 042310,0328,048,1827 DIVISION ST,04/23/2010,DRUID HEIGHTS,CENTRAL,11,"(39.30573047, -76.63488764)"
0328 057 123109,0328,057,1809 DIVISION ST,12/31/2009,DRUID HEIGHTS,CENTRAL,11,"(39.30549767, -76.63459786)"
0328 058 012812,0328,058,1807 DIVISION ST,01/28/2012,DRUID HEIGHTS,CENTRAL,11,"(39.30546895, -76.63456215)"
0328 059 090105,0328,059,1805 DIVISION ST,09/01/2005,DRUID HEIGHTS,CENTRAL,11,"(39.30543893, -76.63453458)"
0328 060 112112,0328,060,1801 DIVISION ST,11/21/2012,DRUID HEIGHTS,CENTRAL,11,"(39.30530735, -76.634546)"
0328 069 082511,0328,069,524 LAURENS ST,08/25/2011,DRUID HEIGHTS,CENTRAL,11,"(39.30553245, -76.63424244)"
0328 070 123109,0328,070,522 LAURENS ST,12/31/2009,DRUID HEIGHTS,CENTRAL,11,"(39.3055566, -76.63421005)"
0328 071 123109,0328,071,520 LAURENS ST,12/31/2009,DRUID HEIGHTS,CENTRAL,11,"(39.30558369, -76.63417377)"
0328 079 031618,0328,079,504 LAURENS ST,03/16/2018,Druid Heights,Central,11,"(39.30582674, -76.63388865)"
0329 006 101415,0329,006,1810 MCCULLOH ST,10/14/2015,DRUID HEIGHTS,CENTRAL,11,"(39.30657532, -76.63320812)"
0329 010 120613,0329,010,1818 MCCULLOH ST,12/06/2013,DRUID HEIGHTS,CENTRAL,11,"(39.30672236, -76.63338962)"
0329 016 060818,0329,016,1830 MCCULLOH ST,06/08/2018,Druid Heights,Central,11,"(39.30688927, -76.63359867)"
0329 017 051918,0329,017,1832 MCCULLOH ST,05/19/2018,Druid Heights,Central,11,"(39.30696672, -76.63356002)"
0329 019 101917,0329,019,1836 MCCULLOH ST,10/19/2017,Druid Heights,Central,11,"(39.30702105, -76.633627)"
0329 022 071312,0329,022,421 ROBERT ST,07/13/2012,DRUID HEIGHTS,CENTRAL,11,"(39.30693963, -76.63372763)"
0329 025 122911,0329,025,427 ROBERT ST,12/29/2011,DRUID HEIGHTS,CENTRAL,11,"(39.3068641, -76.63383127)"
0329 026 111716,0329,026,1847 DRUID HILL AVE,11/17/2016,Druid Heights,Central,11,"(39.30673135, -76.63411041)"
0329 032 101916,0329,032,1829 DRUID HILL AVE,10/19/2016,Druid Heights,Central,11,"(39.30651901, -76.63376056)"
0329 033 060311,0329,033,1827 DRUID HILL AVE,06/03/2011,DRUID HEIGHTS,CENTRAL,11,"(39.30649306, -76.63372834)"
0329 035 112115,0329,035,1823 DRUID HILL AVE,11/21/2015,DRUID HEIGHTS,CENTRAL,11,"(39.30644251, -76.63366529)"
0329 044 102416,0329,044,1805 DRUID HILL AVE,10/24/2016,Druid Heights,Central,11,"(39.30620965, -76.63337753)"
0329 045 100316,0329,045,1803 DRUID HILL AVE,10/03/2016,Druid Heights,Central,11,"(39.3061856, -76.63334767)"
0330 022 052119,0330,022,413 ROBERT ST,05/21/2019,Madison Park,Central,11,"(39.30725876, -76.63330252)"
0330 024 121517,0330,024,1827 MCCULLOH ST,12/15/2017,Madison Park,Central,11,"(39.30720538, -76.63336776)"
0336 026 011817,0336,026,664 PITCHER ST,01/18/2017,Upton,Central,11,"(39.30198931, -76.63582827)"
0339 004 101317,0339,004,1706 DRUID HILL AVE,10/13/2017,Upton,Central,11,"(39.30516209, -76.63286307)"
0339 024 102416,0339,024,503 LAURENS ST,10/24/2016,Upton,Central,11,"(39.30556634, -76.63356961)"
0339 039 093011,0339,039,533 LAURENS ST,09/30/2011,UPTON,CENTRAL,11,"(39.30517827, -76.63408592)"
0339 041 051206,0339,041,537 LAURENS ST,05/12/2006,UPTON,CENTRAL,11,"(39.30513084, -76.63414947)"
0340 010 042318,0340,010,1716 MCCULLOH ST,04/23/2018,Upton,Central,11,"(39.30590975, -76.63238725)"
0340 013 041114,0340,013,1722 MCCULLOH ST,04/11/2014,UPTON,CENTRAL,11,"(39.3060363, -76.63249514)"
0340 018 122315,0340,018,1732 MCCULLOH ST,12/23/2015,UPTON,CENTRAL,11,"(39.30616827, -76.63270584)"
0340 019 102818,0340,019,1734 MCCULLOH ST,10/28/2018,Upton,Central,11,"(39.30620018, -76.6327453)"
0340 031 122908,0340,031,1723 DRUID HILL AVE,12/29/2008,UPTON,CENTRAL,11,"(39.30568564, -76.63273017)"
0340 033 100915,0340,033,1719 DRUID HILL AVE,10/09/2015,UPTON,CENTRAL,11,"(39.3056258, -76.63265612)"
0340 036 020315,0340,036,1713 DRUID HILL AVE,02/03/2015,UPTON,CENTRAL,11,"(39.30553623, -76.63254703)"
0340 038 032007,0340,038,1709 DRUID HILL AVE,03/20/2007,UPTON,CENTRAL,11,"(39.30547764, -76.63247281)"
0340 040 113018,0340,040,1705 DRUID HILL AVE,11/30/2018,Upton,Central,11,"(39.30542249, -76.63240553)"
0340 041 081417,0340,041,1703 DRUID HILL AVE,08/14/2017,Upton,Central,11,"(39.30536623, -76.63241131)"
0341 014 072015,0341,014,1739 MCCULLOH ST,07/20/2015,MADISON PARK,CENTRAL,11,"(39.30649128, -76.63235892)"
0341 020 090916,0341,020,1727 MCCULLOH ST,09/09/2016,Madison Park,Central,11,"(39.30635405, -76.63208757)"
0341 034 060305,0341,034,402 WILSON ST,06/03/2005,MADISON PARK,CENTRAL,11,"(39.30603691, -76.63157306)"
0342 025 020619,0342,025,1700 EUTAW PL,02/06/2019,Madison Park,Central,11,"(39.30687624, -76.63040791)"
0347 019 120117,0347,019,541 WILSON ST,12/01/2017,Upton,Central,11,"(39.30384664, -76.63386285)"
0347 021 070618,0347,021,539 WILSON ST,07/06/2018,Upton,Central,11,"(39.30388165, -76.63381608)"
0347 025 080812,0347,025,531 WILSON ST,08/08/2012,UPTON,CENTRAL,11,"(39.30397638, -76.6336893)"
0347 034 121807,0347,034,1620 DIVISION ST,12/18/2007,UPTON,CENTRAL,11,"(39.30392308, -76.63337321)"
0347 035 041714,0347,035,1618 DIVISION ST,04/17/2014,UPTON,CENTRAL,11,"(39.30389611, -76.6333395)"
0347 036 021312,0347,036,1616 DIVISION ST,02/13/2012,UPTON,CENTRAL,11,"(39.30386881, -76.6333053)"
0347 037 102411,0347,037,1614 DIVISION ST,10/24/2011,UPTON,CENTRAL,11,"(39.30384191, -76.63327179)"
0347 041 051019,0347,041,1606 DIVISION ST,05/10/2019,Upton,Central,11,"(39.30371373, -76.6331049)"
0347 042 122118,0347,042,1604 DIVISION ST,12/21/2018,Upton,Central,11,"(39.30367551, -76.633057)"
0347 047 072015,0347,047,538 MCMECHEN ST,07/20/2015,UPTON,CENTRAL,11,"(39.30353473, -76.6328728)"
0347 051 102918,0347,051,546 MCMECHEN ST,10/29/2018,Upton,Central,11,"(39.30343972, -76.63300227)"
0347 052 120407,0347,052,548 MCMECHEN ST,12/04/2007,UPTON,CENTRAL,11,"(39.30341489, -76.6330361)"
0347 053 022015,0347,053,550 MCMECHEN ST,02/20/2015,UPTON,CENTRAL,11,"(39.30338838, -76.63307213)"
0347 054 092409,0347,054,552 MCMECHEN ST,09/24/2009,UPTON,CENTRAL,11,"(39.3033625, -76.63310743)"
0347 055 120407,0347,055,554 MCMECHEN ST,12/04/2007,UPTON,CENTRAL,11,"(39.30333864, -76.6331399)"
0347 056 011008,0347,056,556 MCMECHEN ST,01/10/2008,UPTON,CENTRAL,11,"(39.30331402, -76.63317336)"
0347 057 121609,0347,057,558 MCMECHEN ST,12/16/2009,UPTON,CENTRAL,11,"(39.30328975, -76.63320742)"
0348 027 012616,0348,027,1633 DIVISION ST,01/26/2016,UPTON,CENTRAL,11,"(39.30430087, -76.63311536)"
0348 028 070616,0348,028,1631 DIVISION ST,07/06/2016,UPTON,CENTRAL,11,"(39.30426755, -76.63307385)"
0348 032 080608,0348,032,1623 DIVISION ST,08/06/2008,UPTON,CENTRAL,11,"(39.3041404, -76.63291593)"
