ReferenceID,Block,Lot,BuildingAddress,NoticeDate,Neighborhood,PoliceDistrict,CouncilDistrict,Location
0007 076 042910,0007,076,1707 N PAYSON ST,04/29/2010,EASTERWOOD,WESTERN,7,"(39.30803073, -76.64952504)"
0008 005 010408,0008,005,1708 N FULTON AVE,01/04/2008,SANDTOWN-WINCHESTER,WESTERN,7,"(39.30817487, -76.64665053)"
0008 006 040908,0008,006,1710 N FULTON AVE,04/09/2008,SANDTOWN-WINCHESTER,WESTERN,7,"(39.30821525, -76.64665202)"
0008 008 041714,0008,008,1714 N FULTON AVE,04/17/2014,SANDTOWN-WINCHESTER,WESTERN,7,"(39.30829475, -76.64665552)"
0008 017 081911,0008,017,1732 N FULTON AVE,08/19/2011,SANDTOWN-WINCHESTER,WESTERN,7,"(39.30864782, -76.64667382)"
0008 019 072707,0008,019,1736 N FULTON AVE,07/27/2007,SANDTOWN-WINCHESTER,WESTERN,7,"(39.30872679, -76.64668092)"
0007 009 022117,0007,009,1716 N MONROE ST,02/21/2017,Easterwood,Western,7,"(39.3082586, -76.64833781)"
0008 020 060412,0008,020,1701 MCKEAN AVE,06/04/2012,SANDTOWN-WINCHESTER,WESTERN,7,"(39.30800508, -76.64696709)"
0008 021 022108,0008,021,1703 MCKEAN AVE,02/21/2008,SANDTOWN-WINCHESTER,WESTERN,7,"(39.30803749, -76.64697126)"
0008 023 081209,0008,023,1707 MCKEAN AVE,08/12/2009,SANDTOWN-WINCHESTER,WESTERN,7,"(39.30810366, -76.64697154)"
0008 025 022108,0008,025,1711 MCKEAN AVE,02/21/2008,SANDTOWN-WINCHESTER,WESTERN,7,"(39.3081746, -76.64697678)"
0008 026 020606,0008,026,1713 MCKEAN AVE,02/06/2006,SANDTOWN-WINCHESTER,WESTERN,7,"(39.30820867, -76.646978)"
0008 029 071812,0008,029,1719 MCKEAN AVE,07/18/2012,SANDTOWN-WINCHESTER,WESTERN,7,"(39.30830977, -76.64698343)"
0008 074 051708,0008,074,1711 N MONROE ST,05/17/2008,SANDTOWN-WINCHESTER,WESTERN,7,"(39.30839355, -76.64781118)"
0009 005 032213,0009,005,1709 N FULTON AVE,03/22/2013,SANDTOWN-WINCHESTER,WESTERN,7,"(39.30820896, -76.64600274)"
0002 012 050418,0002,012,1822 N MONROE ST,05/04/2018,Easterwood,Western,7,"(39.30929352, -76.64839777)"
0009 006 062514,0009,006,1711 N FULTON AVE,06/25/2014,SANDTOWN-WINCHESTER,WESTERN,7,"(39.30825036, -76.64601039)"
0009 007 082012,0009,007,1713 N FULTON AVE,08/20/2012,SANDTOWN-WINCHESTER,WESTERN,7,"(39.30829047, -76.64601068)"
0009 010 021116,0009,010,1719 N FULTON AVE,02/11/2016,SANDTOWN-WINCHESTER,WESTERN,7,"(39.30841609, -76.64601939)"
0009 021 020408,0009,021,1727 WESTWOOD AVE,02/04/2008,SANDTOWN-WINCHESTER,WESTERN,7,"(39.30866269, -76.64578657)"
